1955-05-05	0	NULO	30	20
1955-05-06	0	NULO	28	14
1955-05-07	1	NULO	22	15
1955-05-08	0	NULO	21	8
1955-05-09	0	NULO	21	0
1955-05-10	0	NULO	34	16
1955-05-11	0	NULO	30	19
1955-05-12	0	NULO	30	20
1955-05-13	0	NULO	29	18
1955-05-14	0	NULO	24	12
1955-05-15	0	NULO	26	16
1955-05-16	0	NULO	30	19
1955-05-17	0	NULO	30.5	20
1955-05-18	0	NULO	34	17
1955-05-19	0	NULO	30	23
1955-05-20	0	NULO	34	21
1955-05-21	0	NULO	27	18
1955-05-22	0	NULO	24	14
1955-05-23	0	NULO	25	15
1955-05-24	3	NULO	27	10
1955-05-25	0	NULO	30	13
1955-05-26	0	NULO	28	14
1955-05-27	0	NULO	33	0
1955-05-28	0	NULO	37	18
1955-05-29	0	NULO	31	21
1955-05-30	0	NULO	29	19
1955-05-31	0	NULO	23	12
1955-06-01	0	NULO	28	15
1955-06-02	0	NULO	31	0
1955-06-03	0	NULO	30	18
1955-06-04	0	NULO	35	22
1955-06-05	0	NULO	30	23
1955-06-06	0	NULO	37	23
1955-06-07	0	NULO	40	24
1955-06-08	0	NULO	41	26
1955-06-09	0	NULO	34	24
1955-06-10	0	NULO	29	20
1955-06-11	0	NULO	32	20
1955-06-12	0	NULO	25	19
1955-06-13	1	NULO	24	18
1955-06-14	0	NULO	30	0
1955-06-15	0	NULO	26	14
1955-06-16	0	NULO	32	17
1955-06-17	0	NULO	37	0
1955-06-18	0	NULO	39	23
1955-06-19	0	NULO	37	21
1955-06-20	0	NULO	40	22
1955-06-21	0	NULO	41	26
1955-06-22	0	NULO	40	25
1955-06-23	0	NULO	43	26
1955-06-24	0	NULO	40	32
1955-06-25	0	NULO	32	20
1955-06-26	0	NULO	31	23
1955-06-27	0	NULO	33	22
1955-06-28	0	NULO	33.5	20
1955-06-29	0	NULO	32	20
1955-06-30	0	NULO	32	18
1955-07-01	0	NULO	32	25
1955-07-02	0	NULO	36	20
1955-07-03	0	NULO	40	19
1955-07-04	0	NULO	43	25
1955-07-05	0	NULO	37	28.5
1955-07-06	0	NULO	38	20
1955-07-07	0	NULO	40.5	25
1955-07-08	0	NULO	40	28
1955-07-09	0	NULO	37	22
1955-07-10	0	NULO	34	21
1955-07-11	0	NULO	31.5	22
1955-07-12	2.5	NULO	42	25
1955-07-13	0	NULO	40	25
1955-07-14	0	NULO	49	27
1955-07-15	0	NULO	42	26
1955-07-16	0	NULO	45	29
1955-07-17	12	NULO	39	28
1955-07-18	16	NULO	34	17
1955-07-19	40	NULO	36	17
1955-07-20	0	NULO	40	30
1955-07-21	0	NULO	38	26
1955-07-22	0	NULO	40	27
1955-07-23	0	NULO	41	28.5
1955-07-24	0	NULO	37	25
1955-07-25	0	NULO	36	25.5
1955-07-26	0	NULO	33	28
1955-07-27	0	NULO	40	20
1955-07-28	0	NULO	41	26
1955-07-29	0	NULO	45	27
1955-07-30	1	NULO	43	26
1955-07-31	0	NULO	36	25
1955-08-01	0	NULO	40	27
1955-08-02	0	NULO	42	25
1955-08-03	20	NULO	34	28
1955-08-04	33	NULO	35	23
1955-08-05	0	NULO	34	25
1955-08-06	0	NULO	40	21
1955-08-07	0	NULO	42	23
1955-08-08	0	NULO	38	27
1955-08-09	0	NULO	40	28
1955-08-10	16.5	NULO	39	24
1955-08-11	0	NULO	40	24.5
1955-08-12	0	NULO	39	27
1955-08-13	4	NULO	39.5	28
1955-08-14	12.5	NULO	33	24
1955-08-15	0	NULO	41	25
1955-08-16	0	NULO	37	25
1955-08-17	2	NULO	40.5	27
1955-08-18	0	NULO	33	24
1955-08-19	0	NULO	36	24
1955-08-20	0	NULO	40	23
1955-08-21	0	NULO	39	22
1955-08-22	11	NULO	45.5	30
1955-08-23	10	NULO	41	25
1955-08-24	0	NULO	39.5	21
1955-08-25	0	NULO	33	21.5
1955-08-26	0	NULO	40.5	27
1955-08-27	0	NULO	41	25
1955-08-28	0	NULO	41	28
1955-08-29	0	NULO	42	31
1955-08-30	0	NULO	44	28
1955-08-31	0	NULO	39.5	29
1955-09-01	0	NULO	39	29
1955-09-02	0	NULO	40	28
1955-09-03	0	NULO	41	29.5
1955-09-04	0	NULO	40	31
1955-09-05	0	NULO	40	32
1955-09-06	0	NULO	40.5	32
1955-09-07	0	NULO	41	28.5
1955-09-08	0	NULO	46	31
1955-09-09	0	NULO	42	31
1955-09-10	0	NULO	42.5	28
1955-09-11	0	NULO	43.5	30
1955-09-12	0	NULO	40	23
1955-09-13	0	NULO	41.5	29
1955-09-14	0	NULO	42	24
1955-09-15	0	NULO	39	24.5
1955-09-16	0	NULO	35	16
1955-09-17	0	NULO	31	13
1955-09-18	0	NULO	29	12.5
1955-09-19	0	NULO	29	19
1955-09-20	0	NULO	36	21
1955-09-21	0	NULO	33.5	21
1955-09-22	0	NULO	33	22
1955-09-23	0	NULO	29	23
1955-09-24	0	NULO	33	16
1955-09-25	0	NULO	35	20
1955-09-26	0	NULO	36.5	21.5
1955-09-27	0	NULO	36	25
1955-09-28	0	NULO	37	21
1955-09-29	0	NULO	40	25
1955-09-30	0	NULO	40	28
1955-10-01	0	NULO	36	25
1955-10-02	0	NULO	40	27
1955-10-03	0	NULO	37	26
1955-10-04	0	NULO	32	18
1955-10-05	0	NULO	32	20
1955-10-06	0	NULO	34	23
1955-10-07	0	NULO	37	25
1955-10-08	0	NULO	37	22
1955-10-09	0	NULO	38	25
1955-10-10	0	NULO	35	19
1955-10-11	0	NULO	36	19.5
1955-10-12	0	NULO	36	22
1955-10-13	0	NULO	38	18
1955-10-14	0	NULO	36	21
1955-10-15	0	NULO	35	20
1955-10-16	0	NULO	36	21
1955-10-17	0	NULO	35	16
1955-10-18	0	NULO	35	15
1955-10-19	0	NULO	30	10
1955-10-20	0	NULO	26	9
1955-10-21	0	NULO	29	4
1955-10-22	0	NULO	28	6
1955-10-23	0	NULO	31	12
1955-10-24	0	NULO	33	16
1955-10-25	0	NULO	33	20
1955-10-26	0	NULO	30	18
1955-10-27	0	NULO	26	14
1955-10-28	0	NULO	28	9
1955-10-29	0	NULO	34	10
1955-10-30	0	NULO	35	13
1955-10-31	0	NULO	31	15
1955-11-01	0	NULO	30	19
1955-11-02	0	NULO	32	19
1955-11-03	0	NULO	33	20
1955-11-04	0	NULO	31	22
1955-11-05	0	NULO	33	18
1955-11-06	0	NULO	30.5	18.5
1955-11-07	0	NULO	25	21
1955-11-08	0	NULO	20	5.5
1955-11-09	0	NULO	20	11
1955-11-10	0	NULO	21	9
1955-11-11	0	NULO	21	7
1955-11-12	0	NULO	20	7
1955-11-13	0	NULO	19	5
1955-11-14	0	NULO	18	5
1955-11-15	0	NULO	9	6
1955-11-16	0	NULO	15	5
1955-11-17	0	NULO	14	6
1955-11-18	0	NULO	15	10
1955-11-19	0	NULO	14	9
1955-11-20	0	NULO	12	7
1955-11-21	4	NULO	11	8
1955-11-22	0	NULO	12	4
1955-11-23	0	NULO	17	8
1955-11-24	0	NULO	22	10
1955-11-25	0	NULO	18	12
1955-11-26	0	NULO	11	7
1955-11-27	0	NULO	14	6
1955-11-28	0	NULO	17	6
1955-11-29	0	NULO	19	5
1955-11-30	0	NULO	14	9
1955-12-01	17	NULO	14	8
1955-12-02	3	NULO	8	1
1955-12-03	2.5	NULO	9	1
1955-12-04	6	NULO	8	6
1955-12-05	0	NULO	13	0
1955-12-06	1	NULO	15	4
1955-12-07	0	NULO	16	-1
1955-12-08	0	NULO	14	-2.5
1955-12-09	0	NULO	13	3
1955-12-10	0	NULO	12	6
1955-12-11	0	NULO	15	3
1955-12-12	0	NULO	23	0
1955-12-13	0	NULO	15	7
1955-12-14	0	NULO	21	5
1955-12-15	0	NULO	22	11
1955-12-16	0	NULO	16	12
1955-12-17	0	NULO	19	4
1955-12-18	0	NULO	18	4
1955-12-19	0	NULO	16	4
1955-12-20	0	NULO	16	5
1955-12-21	0	NULO	17	5
1955-12-22	0	NULO	16	6
1955-12-23	0	NULO	17	3
1955-12-24	0	NULO	20	2
1955-12-25	0	NULO	20	4
1955-12-26	0	NULO	19	4
1955-12-27	0	NULO	18	5
1955-12-28	0	NULO	16	7
1955-12-29	0	NULO	17	6
1955-12-30	0	NULO	15	5
1955-12-31	0	NULO	15	3
1956-01-01	0	NULO	24	9
1956-01-02	0	NULO	25	6
1956-01-03	0	NULO	25	8
1956-01-04	0	NULO	23	8
1956-01-05	0	NULO	20	9
1956-01-06	0	NULO	22	7
1956-01-07	0	NULO	21	7
1956-01-08	0	NULO	25	7
1956-01-09	0	NULO	30	8
1956-01-10	0	NULO	31	22
1956-01-11	0	NULO	30	23
1956-01-12	0	NULO	31	17
1956-01-13	0	NULO	27	10
1956-01-14	0	NULO	21	9
1956-01-15	0	NULO	21	4
1956-01-16	0	NULO	18	6
1956-01-17	0	NULO	18	5
1956-01-18	0	NULO	17	8
1956-01-19	0	NULO	16	10
1956-01-20	1	NULO	22	9
1956-01-21	22	NULO	14	7
1956-01-22	11	NULO	13	5
1956-01-23	0	NULO	15	4
1956-01-24	0	NULO	18	8
1956-01-25	8	NULO	14	5
1956-01-26	0	NULO	13	3
1956-01-27	11	NULO	21	4
1956-01-28	0	NULO	16	7
1956-01-29	0	NULO	13	9
1956-01-30	7	NULO	21	7
1956-01-31	3	NULO	23	9
1956-02-01	0	NULO	22	9
1956-02-02	0	NULO	19	9.5
1956-02-03	0	NULO	19.5	10
1956-02-04	0	NULO	22	10
1956-02-05	0.3	NULO	16	9.5
1956-02-06	0	NULO	12.5	5
1956-02-07	0	NULO	20	7.5
1956-02-08	0	NULO	20	7.5
1956-02-09	0	NULO	21	7.5
1956-02-10	0	NULO	25	6
1956-02-11	0	NULO	28	9
1956-02-12	0	NULO	26	5
1956-02-13	0	NULO	24	8
1956-02-14	0	NULO	18	6
1956-02-15	0	NULO	17.5	5.5
1956-02-16	0.4	NULO	11	2.5
1956-02-17	0	NULO	16.5	4.5
1956-02-18	0	NULO	14.5	4.5
1956-02-19	0	NULO	21	4.5
1956-02-20	0	NULO	26	8
1956-02-21	0	NULO	28	6
1956-02-22	0	NULO	24	7
1956-02-23	0.6	NULO	21.5	9
1956-02-24	0.4	NULO	14.5	4
1956-02-25	0	NULO	20	2.5
1956-02-26	0	NULO	17	3.5
1956-02-27	0	NULO	16	8
1956-02-28	0	NULO	24	4
1956-02-29	0	NULO	22.5	6.5
1956-03-01	0	NULO	20	9
1956-03-02	0	NULO	23	7.5
1956-03-03	0	NULO	19.5	9.5
1956-03-04	0	NULO	22	10
1956-03-05	0	NULO	16	9.5
1956-03-06	0	NULO	12	5
1956-03-07	0	NULO	20	7.5
1956-03-08	0	NULO	20	7.5
1956-03-09	0	NULO	21	7.5
1956-03-10	0	NULO	25	12
1956-03-11	0	NULO	28	11
1956-03-12	0	NULO	26	14
1956-03-13	0	NULO	24	12
1956-03-14	0	NULO	18	6
1956-03-15	0	NULO	17	5.5
1956-03-16	0	NULO	11	2.5
1956-03-17	0	NULO	16	4.5
1956-03-18	0	NULO	17.5	4.5
1956-03-19	0	NULO	21	4
1956-03-20	0	NULO	26	12.5
1956-03-21	0	NULO	28	15
1956-03-22	0	NULO	24	12
1956-03-23	0	NULO	21.5	9
1956-03-24	0	NULO	14.5	4
1956-03-25	0	NULO	20	2.5
1956-03-26	0	NULO	17	3.5
1956-03-27	0	NULO	16	8
1956-03-28	0	NULO	24	4
1956-03-29	0	NULO	17	6.5
1956-03-30	0	NULO	24	8
1956-03-31	0	NULO	22.5	6.5
1956-04-01	0.3	NULO	17	3
1956-04-02	0.1	NULO	19	2.5
1956-04-03	0	NULO	20	6
1956-04-04	0	NULO	24	11
1956-04-05	0	NULO	28	15
1956-04-06	0	NULO	31	15
1956-04-07	0	NULO	32	13
1956-04-08	0	NULO	30	18
1956-04-09	0	NULO	33	21
1956-04-10	0	NULO	25	11
1956-04-11	0	NULO	22	7
1956-04-12	19	NULO	22.5	10
1956-04-13	0.9	NULO	16	5
1956-04-14	0.3	NULO	18	4
1956-04-15	0	NULO	23	6
1956-04-16	0	NULO	22	12
1956-04-17	0	NULO	28	10
1956-04-18	0	NULO	24	14
1956-04-19	0	NULO	33	15
1956-04-20	0	NULO	32	11
1956-04-21	0	NULO	35	18
1956-04-22	0	NULO	28	22
1956-04-23	0	NULO	31	17
1956-04-24	0	NULO	32	13
1956-04-25	0	NULO	24	18
1956-04-26	0	NULO	28	16
1956-04-27	0	NULO	31	15
1956-04-28	0	NULO	33	13
1956-04-29	0	NULO	35	17
1956-04-30	0	NULO	35	20
1956-05-01	0	NULO	33	17
1956-05-02	0	NULO	25	16
1956-05-03	0	NULO	33	10
1956-05-04	0	NULO	33	21
1956-05-05	0	NULO	38	21
1956-05-06	0	NULO	40	25
1956-05-07	0	NULO	32	27
1956-05-08	0	NULO	29	11
1956-05-09	0	NULO	37	14
1956-05-10	0	NULO	35	20
1956-05-11	0	NULO	36	18
1956-05-12	0	NULO	38	19
1956-05-13	0	NULO	38	20
1956-05-14	0	NULO	30	20
1956-05-15	0	NULO	35	16
1956-05-16	0	NULO	40	20
1956-05-17	0	NULO	32	27
1956-05-18	0	NULO	38	19
1956-05-19	0	NULO	36	20
1956-05-20	0	NULO	33	23
1956-05-21	0	NULO	37	19
1956-05-22	0	NULO	37.5	21
1956-05-23	0	NULO	35	21
1956-05-24	0	NULO	29	19
1956-05-25	0	NULO	25	14
1956-05-26	0	NULO	30	12
1956-05-27	0	NULO	27	15
1956-05-28	0	NULO	20	11
1956-05-29	0	NULO	30	8
1956-05-30	0	NULO	32	10
1956-05-31	0	NULO	35	18
1956-06-01	0	NULO	40	15
1956-06-02	0	NULO	39	20
1956-06-03	0	NULO	40.5	22
1956-06-04	0	NULO	34	21
1956-06-05	0	NULO	33	19
1956-06-06	0	NULO	35	18
1956-06-07	0	NULO	30	21
1956-06-08	0	NULO	40	25
1956-06-09	0	NULO	39	26
1956-06-10	0	NULO	41	21
1956-06-11	0	NULO	43	27
1956-06-12	0	NULO	43.5	29
1956-06-13	0	NULO	42	27
1956-06-14	0	NULO	36	24
1956-06-15	0	NULO	31	18
1956-06-16	0	NULO	32	19
1956-06-17	0	NULO	30	24
1956-06-18	0	NULO	36	25
1956-06-19	0	NULO	37	21
1956-06-20	0	NULO	33	20
1956-06-21	0	NULO	34	20
1956-06-22	0	NULO	36	22
1956-06-23	0	NULO	33	20
1956-06-24	0	NULO	37	21
1956-06-25	0	NULO	40	24
1956-06-26	0	NULO	43	27
1956-06-27	0	NULO	42	27
1956-06-28	0	NULO	44	28
1956-06-29	0	NULO	40	28.5
1956-06-30	0	NULO	37	24
1956-07-01	0	NULO	33	18
1956-07-02	0	NULO	32	18
1956-07-03	0	NULO	33	23
1956-07-04	0	NULO	37	23
1956-07-05	0	NULO	38	25
1956-07-06	0	NULO	39	24
1956-07-07	0	NULO	42	25
1956-07-08	0	NULO	42	27
1956-07-09	0	NULO	45	28
1956-07-10	0	NULO	41	26
1956-07-11	0	NULO	39	31
1956-07-12	0	NULO	40	25
1956-07-13	0	NULO	44	29
1956-07-14	0	NULO	43	26
1956-07-15	0	NULO	40	27
1956-07-16	0	NULO	43	28
1956-07-17	0	NULO	38	29
1956-07-18	0	NULO	34	26
1956-07-19	2	NULO	40	20
1956-07-20	0	NULO	39	23
1956-07-21	0	NULO	43	26
1956-07-22	0	NULO	41	30
1956-07-23	0	NULO	45	31
1956-07-24	0	NULO	38	29
1956-07-25	0	NULO	40	27
1956-07-26	9.5	NULO	38	29
1956-07-27	3	NULO	39	24
1956-07-28	0	NULO	41	23
1956-07-29	0	NULO	40	25
1956-07-30	0	NULO	40	24
1956-07-31	0	NULO	39	26
1956-08-01	0	NULO	37	26
1956-08-02	0	NULO	35	24
1956-08-03	0	NULO	34	19
1956-08-04	0	NULO	36	24
1956-08-05	0	NULO	39	21
1956-08-06	0	NULO	40	25
1956-08-07	0	NULO	39	20
1956-08-08	0	NULO	42	30
1956-08-09	0	NULO	43	32
1956-08-10	0	NULO	42	32
1956-08-11	0	NULO	39	30
1956-08-12	0	NULO	40	22
1956-08-13	0	NULO	39	25
1956-08-14	0	NULO	40.5	25.5
1956-08-15	0	NULO	41	27
1956-08-16	0	NULO	39	26
1956-08-17	0	NULO	38.5	26
1956-08-18	0	NULO	37	26
1956-08-19	0	NULO	37.5	22
1956-08-20	0	NULO	39	21.5
1956-08-21	0	NULO	42	26
1956-08-22	0	NULO	44	28
1956-08-23	0	NULO	44	32
1956-08-24	0	NULO	42	27
1956-08-25	0	NULO	41	31
1956-08-26	0	NULO	33	20
1956-08-27	0	NULO	32	17
1956-08-28	0	NULO	34	17
1956-08-29	0	NULO	37	25
1956-08-30	0	NULO	37	25
1956-08-31	0	NULO	39	26
1956-09-01	0	NULO	41.5	30
1956-09-02	0	NULO	41	28.5
1956-09-03	0	NULO	41	20
1956-09-04	0	NULO	40.5	28
1956-09-05	0	NULO	40	31
1956-09-06	0	NULO	40	28.5
1956-09-07	0	NULO	40	28
1956-09-08	0	NULO	42.5	30
1956-09-09	0	NULO	43	30
1956-09-10	0	NULO	42.5	26.5
1956-09-11	0	NULO	40	30.5
1956-09-12	0	NULO	38	27
1956-09-13	0	NULO	39	28
1956-09-14	0	NULO	41	29
1956-09-15	0	NULO	42	30
1956-09-16	0	NULO	40	28
1956-09-17	0	NULO	41.5	29
1956-09-18	0	NULO	42	31
1956-09-19	0	NULO	38.5	27
1956-09-20	0	NULO	34	21
1956-09-21	0	NULO	39	25
1956-09-22	0	NULO	40	20
1956-09-23	0	NULO	41	29
1956-09-24	0	NULO	48	30
1956-09-25	0	NULO	41.5	29
1956-09-26	0	NULO	40	30
1956-09-27	0	NULO	42	28
1956-09-28	0	NULO	41	28
1956-09-29	0	NULO	39	23
1956-09-30	0	NULO	38	20
1956-10-01	0	NULO	35	25
1956-10-02	0	NULO	32	20
1956-10-03	0	NULO	32	20
1956-10-04	0	NULO	26	13
1956-10-05	0	NULO	29	15
1956-10-06	0	NULO	30	15
1956-10-07	0	NULO	31	14
1956-10-08	0	NULO	35	22
1956-10-09	0	NULO	35	23
1956-10-10	0	NULO	35	21
1956-10-11	0	NULO	31	17
1956-10-12	0	NULO	28	18
1956-10-13	0	NULO	25	18
1956-10-14	0	NULO	20	15
1956-10-15	0	NULO	27	11
1956-10-16	0	NULO	23	16
1956-10-17	0	NULO	18	9
1956-10-18	0	NULO	17	9
1956-10-19	0	NULO	18	2
1956-10-20	0	NULO	17	5
1956-10-21	0	NULO	18	2
1956-10-22	0	NULO	18	10
1956-10-23	0.2	NULO	12	10
1956-10-24	0.2	NULO	17	2
1956-10-25	0.2	NULO	18	5
1956-10-26	0	NULO	12	4
1956-10-27	0	NULO	15	2
1956-10-28	0.4	NULO	16	2
1956-10-29	0	NULO	16	4
1956-10-30	0	NULO	15	4
1956-10-31	0	NULO	18	5
1956-11-01	0	NULO	29	15
1956-11-02	0	NULO	26	17
1956-11-03	0	NULO	24	18
1956-11-04	0	NULO	25	11
1956-11-05	0	NULO	23	13
1956-11-06	0	NULO	24	8
1956-11-07	0	NULO	33	10
1956-11-08	0	NULO	33	15
1956-11-09	0	NULO	34	20
1956-11-10	0	NULO	30	19
1956-11-11	0	NULO	23	14
1956-11-12	0	NULO	26	19
1956-11-13	0	NULO	35	17
1956-11-14	0	NULO	27	14
1956-11-15	0	NULO	23	13
1956-11-16	0	NULO	31	14
1956-11-17	0	NULO	34	11.5
1956-11-18	0	NULO	31	14
1956-11-19	0	NULO	21	13
1956-11-20	0	NULO	20	11
1956-11-21	0	NULO	27	11
1956-11-22	0	NULO	30	15
1956-11-23	0	NULO	40	0
1956-11-24	0	NULO	29	19
1956-11-25	0	NULO	31	2
1956-11-26	0	NULO	28	3
1956-11-27	0	NULO	28	21
1956-11-28	0	NULO	28	20
1956-11-29	0	NULO	30	20
1956-11-30	0	NULO	28	21
1956-12-01	0	NULO	28	20
1956-12-02	0	NULO	35	22
1956-12-03	0	NULO	27	14
1956-12-04	0	NULO	20	14
1956-12-05	2.5	NULO	24	3
1956-12-06	2.5	NULO	27	16
1956-12-07	0	NULO	28	2
1956-12-08	0	NULO	24	8
1956-12-09	0	NULO	24	4
1956-12-10	0	NULO	21	12
1956-12-11	0	NULO	15	11
1956-12-12	0	NULO	28	6
1956-12-13	0	NULO	29	12
1956-12-14	0	NULO	31	19
1956-12-15	0	NULO	32	20
1956-12-16	0	NULO	32	20
1956-12-17	0	NULO	22	15
1956-12-18	0	NULO	14	7
1956-12-19	0	NULO	24	5
1956-12-20	0	NULO	24	2
1956-12-21	0	NULO	20	5
1956-12-22	0	NULO	18	3
1956-12-23	0	NULO	25	5
1956-12-24	0	NULO	25	10
1956-12-25	0	NULO	20	15
1956-12-26	0	NULO	26	16
1956-12-27	0	NULO	25	12
1956-12-28	0	NULO	22	11
1956-12-29	0	NULO	30	9
1956-12-30	0	NULO	29	10.5
1956-12-31	0	NULO	31	4
1957-01-01	0	NULO	25	21
1957-01-02	4	NULO	27	16
1957-01-03	0	NULO	31	18
1957-01-04	0	NULO	23	12
1957-01-05	4	NULO	21	14
1957-01-06	7	NULO	23	10
1957-01-07	22	NULO	21	13
1957-01-08	56	NULO	20	13
1957-01-09	2	NULO	28	11
1957-01-10	1	NULO	20	0
1957-01-11	0	NULO	23	10
1957-01-12	6	NULO	19	13
1957-01-13	10	NULO	20	12
1957-01-14	0	NULO	21	7
1957-01-15	0	NULO	26	13
1957-01-16	0	NULO	20	10
1957-01-17	0	NULO	20	8
1957-01-18	0	NULO	22	12
1957-01-19	0	NULO	24	6
1957-01-20	8	NULO	20	14
1957-01-21	0	NULO	20	0
1957-01-22	0	NULO	18	2
1957-01-23	1	NULO	17	11
1957-01-24	6	NULO	18	10
1957-01-25	1	NULO	18.5	7
1957-01-26	10	NULO	15	0
1957-01-27	9	NULO	13	0
1957-01-28	5	NULO	14	6
1957-01-29	27	NULO	12	0
1957-01-30	2.5	NULO	19	2.5
1957-01-31	0	NULO	24	2.5
1957-02-01	0	NULO	23	16
1957-02-02	0	NULO	20	17
1957-02-03	0	NULO	17	16
1957-02-04	0	NULO	25	9
1957-02-05	0	NULO	26	10
1957-02-06	0	NULO	27	16
1957-02-07	0	NULO	30	18
1957-02-08	0	NULO	29	19
1957-02-09	0	NULO	31	12
1957-02-10	0	NULO	25	15
1957-02-11	0	NULO	30	13
1957-02-12	0	NULO	34	16
1957-02-13	0	NULO	35	17
1957-02-14	0	NULO	36	23
1957-02-15	0	NULO	31	19
1957-02-16	0	NULO	27	13
1957-02-17	0	NULO	20	10
1957-02-18	1	NULO	21	6
1957-02-19	0	NULO	23	5
1957-02-20	2	NULO	22	7
1957-02-21	0	NULO	23	6
1957-02-22	6	NULO	29	8
1957-02-23	2	NULO	20	4
1957-02-24	0	NULO	23	5
1957-02-25	0	NULO	24	9
1957-02-26	0	NULO	23	6
1957-02-27	0	NULO	28	7
1957-02-28	5	NULO	24	10
1957-03-01	2	NULO	20	6
1957-03-02	0	NULO	23	6
1957-03-03	0	NULO	20	8
1957-03-04	0	NULO	27	4
1957-03-05	0	NULO	25	8
1957-03-06	0	NULO	29	9
1957-03-07	0	NULO	33	15
1957-03-08	0	NULO	30	10
1957-03-09	14	NULO	28	8
1957-03-10	0	NULO	20	8
1957-03-11	0	NULO	25	9
1957-03-12	0	NULO	24	11
1957-03-13	0	NULO	21	8
1957-03-14	0	NULO	21	11
1957-03-15	0	NULO	27	9
1957-03-16	13	NULO	26	5
1957-03-17	0	NULO	19	8
1957-03-18	2	NULO	21	9
1957-03-19	1	NULO	24	8
1957-03-20	0	NULO	24	0
1957-03-21	0	NULO	22	16
1957-03-22	0	NULO	20	13
1957-03-23	0	NULO	21	12
1957-03-24	0	NULO	27	12.5
1957-03-25	0	NULO	29	13
1957-03-26	0	NULO	30	13
1957-03-27	0	NULO	29	18
1957-03-28	0	NULO	28	16
1957-03-29	0	NULO	28	10
1957-03-30	0	NULO	26	15
1957-03-31	0	NULO	29	14
1957-04-01	0	NULO	20	8
1957-04-02	0	NULO	29	13
1957-04-03	0	NULO	33	0
1957-04-04	0	NULO	32	17
1957-04-05	0	NULO	33	26
1957-04-06	0	NULO	29	18
1957-04-07	0	NULO	30	20
1957-04-08	0	NULO	30	22
1957-04-09	0	NULO	31	23
1957-04-10	0	NULO	27	23.5
1957-04-11	0	NULO	28	18
1957-04-12	0	NULO	30	19
1957-04-13	0	NULO	32	23
1957-04-14	0	NULO	34	20
1957-04-15	0	NULO	30	19
1957-04-16	0	NULO	24	20
1957-04-17	5	NULO	25	13
1957-04-18	1	NULO	25	8
1957-04-19	0	NULO	25	13
1957-04-20	17.5	NULO	24	12
1957-04-21	10	NULO	15	10
1957-04-22	9.5	NULO	15.5	0
1957-04-23	1	NULO	20	8
1957-04-24	0	NULO	27	0
1957-04-25	0	NULO	28	15
1957-04-26	0	NULO	31	2
1957-04-27	0	NULO	32	20
1957-04-28	0	NULO	30	18
1957-04-29	0	NULO	33	21
1957-04-30	0	NULO	30	19
1957-05-01	0	NULO	30.5	20
1957-05-02	0	NULO	28	18
1957-05-03	0	NULO	33	19
1957-05-04	0	NULO	34	20
1957-05-05	0	NULO	32	19
1957-05-06	0	NULO	29	17
1957-05-07	0	NULO	22	10
1957-05-08	1	NULO	24	10
1957-05-09	20	NULO	23	9
1957-05-10	12	NULO	18	8
1957-05-11	24	NULO	18	9
1957-05-12	5	NULO	23	7
1957-05-13	0	NULO	21	10
1957-05-14	5	NULO	23.5	8
1957-05-15	0	NULO	25	14
1957-05-16	0	NULO	30	13
1957-05-17	0	NULO	26	12
1957-05-18	1	NULO	28	10
1957-05-19	3	NULO	22	10
1957-05-20	2.5	NULO	21	10
1957-05-21	5	NULO	17	9
1957-05-22	0	NULO	24	10
1957-05-23	0	NULO	17	7
1957-05-24	0	NULO	23	0
1957-05-25	0	NULO	32	0
1957-05-26	0	NULO	36	19
1957-05-27	0	NULO	32	20
1957-05-28	0	NULO	29	21
1957-05-29	0	NULO	29	14
1957-05-30	0	NULO	23	18
1957-05-31	0	NULO	37	0
1957-06-01	0	NULO	40	10
1957-06-02	0	NULO	43	21
1957-06-03	0	NULO	42	21
1957-06-04	0	NULO	42	24
1957-06-05	0	NULO	40	22
1957-06-06	0	NULO	37	18
1957-06-07	0	NULO	36	19
1957-06-08	1	NULO	36	13
1957-06-09	6	NULO	28	14
1957-06-10	0	NULO	26	9
1957-06-11	0	NULO	34	8
1957-06-12	0	NULO	36	20
1957-06-13	0	NULO	35	20
1957-06-14	0	NULO	32	13
1957-06-15	0	NULO	30	18
1957-06-16	0	NULO	36	22
1957-06-17	0	NULO	37	22
1957-06-18	6	NULO	42	27
1957-06-19	0	NULO	41	27
1957-06-20	0	NULO	40	29
1957-06-21	0	NULO	39	24
1957-06-22	0	NULO	40	20
1957-06-23	0	NULO	40	24
1957-06-24	0	NULO	46	30
1957-06-25	0	NULO	43	25
1957-06-26	0	NULO	42	24
1957-06-27	0	NULO	38	27
1957-07-01	0	NULO	42	28
1957-07-02	0	NULO	43.5	28
1957-07-03	0	NULO	45	27
1957-07-04	0	NULO	45	33
1957-07-05	0	NULO	49	27
1957-07-06	0	NULO	41	31
1957-07-07	0	NULO	42	29
1957-07-08	0	NULO	42.5	24
1957-07-09	0	NULO	43	24
1957-07-10	0	NULO	40	28
1957-07-11	0	NULO	42	28
1957-07-12	0	NULO	41	26
1957-07-13	0	NULO	41	26
1957-07-14	0	NULO	42	12
1957-07-15	0	NULO	43	18
1957-07-16	0	NULO	42	9
1957-07-17	0	NULO	43	12
1957-07-18	0	NULO	47	12
1957-07-19	0	NULO	40	13
1957-07-20	0	NULO	40	22
1957-07-21	0	NULO	42	12
1957-07-22	0	NULO	41	12
1957-07-23	0	NULO	43	11
